quantity,name,simpleName,set,cardNumber,setCode,printing,condition,language,rarity,productId,sku
1,Temple of Malice,Temple of Malice,Theros Beyond Death,247,THB,Normal,Near Mint,English,Rare,206635,4288210
1,Rings of Brighthearth,Rings of Brighthearth,Commander Legends,335,CMR,Normal,Near Mint,English,Rare,226839,4645296
1,Talisman of Indulgence,Talisman of Indulgence,Mirrodin,255,MRD,Normal,Near Mint,English,Uncommon,11563,9671
1,Graven Cairns,Graven Cairns,Double Masters,320,2XM,Normal,Near Mint,English,Rare,218591,4505395
1,The Eldest Reborn,The Eldest Reborn,Dominaria,90,DOM,Normal,Near Mint,English,Uncommon,162197,3614239
1,Price of Fame,Price of Fame,Commander: Zendikar Rising,52,ZNC,Normal,Near Mint,English,Uncommon,222574,4585025
1,Lithoform Engine,Lithoform Engine,Zendikar Rising,245,ZNR,Normal,Near Mint,English,Mythic,222110,4569107
1,Bedevil,Bedevil,Ravnica Allegiance,157,RNA,Normal,Near Mint,English,Rare,182230,3926411
1,Rakdos Signet,Rakdos Signet,Commander,257,CMD,Normal,Near Mint,English,Common,47327,471846
1,Noxious Gearhulk,Noxious Gearhulk,Kaladesh,96,KLD,Normal,Near Mint,English,Mythic,122732,3201239
1,Arcane Signet,Arcane Signet,Commander Legends,297,CMR,Normal,Near Mint,English,Uncommon,226694,4641126
1,Night's Whisper,Night's Whisper,Eternal Masters,100,EMA,Normal,Near Mint,English,Common,118762,3147352
1,Commander's Sphere,Commander's Sphere,Commander 2020,240,C20,Normal,Near Mint,English,Common,212199,4372543
1,"Tevesh Szat, Doom of Fools (Borderless)","Tevesh Szat, Doom of Fools",Commander Legends,512,CMR,Normal,Near Mint,English,Mythic,226126,4625454
1,Torment of Hailfire,Torment of Hailfire,Hour of Devastation,77,HOU,Normal,Near Mint,English,Rare,135074,3411394
1,Grim Tutor,Grim Tutor,Core Set 2021,103,M21,Normal,Near Mint,English,Mythic,215341,4436165
1,Gilded Lotus,Gilded Lotus,Dominaria,215,DOM,Normal,Near Mint,English,Rare,164292,3635075
1,Stolen Strategy,Stolen Strategy,Battlebond,64,BBD,Normal,Near Mint,English,Rare,167771,3749612
1,Murderous Rider,Murderous Rider,Throne of Eldraine,97,ELD,Normal,Near Mint,English,Rare,198749,4185117
1,Sulfurous Mire,Sulfurous Mire,Kaldheim,270,KHM,Normal,Near Mint,English,Land,230114,4703862
1,Rakdos Carnarium,Rakdos Carnarium,Commander,284,CMD,Normal,Near Mint,English,Common,47283,471723
1,Treasure Nabber,Treasure Nabber,Commander 2018,27,C18,Normal,Near Mint,English,Rare,170783,3805793
1,"Neheb, Dreadhorde Champion","Neheb, Dreadhorde Champion",War of the Spark,140,WAR,Normal,Near Mint,English,Rare,187228,3990324
1,Firemind Vessel,Firemind Vessel,War of the Spark,237,WAR,Normal,Near Mint,English,Uncommon,188513,4004500
1,Underworld Breach,Underworld Breach,Theros Beyond Death,161,THB,Normal,Near Mint,English,Rare,206642,4288480
1,"Valki, God of Lies","Valki, God of Lies",Kaldheim,114,KHM,Foil,Near Mint,English,Mythic,230113,4703757
1,Wayfarer's Bauble,Wayfarer's Bauble,Fifth Dawn,165,5DN,Normal,Near Mint,English,Common,11835,23908
1,"Kroxa, Titan of Death's Hunger","Kroxa, Titan of Death's Hunger",Theros Beyond Death,221,THB,Normal,Near Mint,English,Mythic,206855,4299992
